application_id,school_id,programme_level,tuition_amount,household_income_monthly,number_of_dependents,orphan_status,disability_status,sponsor_type,has_other_scholarship,employment_status,cgpa,academic_standing,years_remaining,state_of_origin,socioeconomic_index,income_bracket,tuition_income_ratio
APP_000001,UNI_007,BSc,298904,68998,0,1,0,Guardian,0,Unemployed,3.15,Good,3,Ondo,0.39,Lower-Middle,4.33
APP_000002,UNI_020,HND,91675,346997,1,0,0,None,0,Unemployed,2.23,Good,3,Plateau,0.75,High,0.26
APP_000003,UNI_029,HND,169606,122304,0,0,0,Parent,0,Part-time,1.5,Probation,2,Oyo,0.53,Upper-Middle,1.39
APP_000004,UNI_015,BSc,362224,332361,7,0,0,Parent,0,Unemployed,2.67,Good,2,Ekiti,0.46,High,1.09
APP_000005,UNI_011,MSc,323747,209692,4,0,0,None,1,Full-time,1.56,Good,3,Kaduna,0.87,Upper-Middle,1.54
APP_000006,UNI_008,ND,328585,222001,0,0,0,None,0,Unemployed,1.63,Good,2,Abuja,0.86,Upper-Middle,1.48
APP_000007,UNI_029,BSc,356080,272862,3,1,0,Parent,0,Unemployed,1.6,Good,2,Oyo,0.62,High,1.3
APP_000008,UNI_021,ND,90019,174957,5,0,0,Parent,0,Unemployed,4.4,Good,3,Benue,0.86,Upper-Middle,0.51
APP_000009,UNI_007,HND,317790,348283,4,0,0,Guardian,0,Unemployed,1.97,Good,2,Kogi,0.75,High,0.91
APP_000010,UNI_026,BSc,430448,27103,0,0,0,Parent,0,Unemployed,2.34,Good,2,Kano,0.45,Low,15.88
APP_000011,UNI_019,BSc,284933,296690,2,0,0,Parent,0,Unemployed,3.12,Good,3,Anambra,0.83,High,0.96
APP_000012,UNI_023,HND,84486,275948,2,0,0,None,0,Unemployed,3.25,Good,4,Kano,0.45,High,0.31
APP_000013,UNI_011,HND,424165,166528,5,1,0,Parent,1,Part-time,1.9,Good,1,Lagos,0.86,Upper-Middle,2.55
APP_000014,UNI_011,ND,290936,300372,3,0,0,Parent,0,Unemployed,4.5,Good,4,Osun,0.56,High,0.97
APP_000015,UNI_024,HND,198411,282190,1,1,0,None,0,Unemployed,2.26,Good,4,Ekiti,0.72,High,0.7
APP_000016,UNI_021,MSc,230184,348499,1,0,0,Guardian,0,Full-time,4.61,Good,4,Kogi,0.65,High,0.66
APP_000017,UNI_004,MSc,131697,236014,5,0,0,Parent,0,Unemployed,2.35,Good,2,Kogi,0.71,Upper-Middle,0.56
APP_000018,UNI_008,HND,135998,135965,0,0,0,Parent,0,Unemployed,1.51,Good,4,Osun,0.33,Upper-Middle,1.0
APP_000019,UNI_024,BSc,189537,35930,4,0,1,Parent,0,Unemployed,4.71,Probation,1,Kano,0.82,Low,5.28
APP_000020,UNI_003,MSc,439960,100823,5,0,0,Guardian,0,Unemployed,3.1,Good,4,Oyo,0.78,Lower-Middle,4.36
APP_000021,UNI_022,ND,106576,271025,1,0,0,None,1,Unemployed,4.4,Good,2,Enugu,0.64,High,0.39
APP_000022,UNI_021,BSc,261172,219494,2,0,0,Parent,0,Unemployed,3.92,Good,4,Oyo,0.35,Upper-Middle,1.19
APP_000023,UNI_002,MSc,161238,98880,7,0,0,None,0,Part-time,2.09,Good,3,Abuja,0.6,Lower-Middle,1.63
APP_000024,UNI_024,ND,295045,238626,1,0,0,None,0,Unemployed,4.29,Good,3,Enugu,0.51,Upper-Middle,1.24
APP_000025,UNI_012,HND,205885,192827,2,0,0,None,0,Part-time,1.67,Good,2,Kano,0.21,Upper-Middle,1.07
APP_000026,UNI_030,MSc,145729,203552,1,0,0,Parent,0,Unemployed,3.17,Good,2,Nasarawa,0.85,Upper-Middle,0.72
APP_000027,UNI_006,BSc,170853,27293,3,0,0,Parent,1,Full-time,2.34,Good,4,Osun,0.74,Low,6.26
APP_000028,UNI_002,ND,201992,88542,5,0,0,Parent,0,Unemployed,2.69,Good,4,Abuja,0.83,Lower-Middle,2.28
APP_000029,UNI_028,HND,305090,80528,7,0,0,Parent,0,Part-time,4.0,Good,1,Osun,0.62,Lower-Middle,3.79
APP_000030,UNI_021,BSc,371288,128885,4,1,0,Guardian,0,Part-time,3.76,Good,4,Rivers,0.43,Upper-Middle,2.88
APP_000031,UNI_001,BSc,268398,165771,7,0,0,Parent,0,Unemployed,2.95,Good,3,Lagos,0.51,Upper-Middle,1.62
APP_000032,UNI_012,BSc,419292,179506,5,0,0,None,1,Part-time,1.65,Good,4,Nasarawa,0.78,Upper-Middle,2.34
APP_000033,UNI_026,MSc,361451,74669,6,0,0,None,0,Unemployed,1.63,Good,4,Lagos,0.34,Lower-Middle,4.84
APP_000034,UNI_022,HND,402742,299746,0,0,0,None,0,Unemployed,3.82,Good,1,Kaduna,0.31,High,1.34
APP_000035,UNI_029,BSc,231321,191858,2,0,0,None,0,Part-time,4.63,Good,4,Oyo,0.27,Upper-Middle,1.21
APP_000036,UNI_012,BSc,171810,292096,1,0,0,None,0,Unemployed,4.3,Good,3,Benue,0.27,High,0.59
APP_000037,UNI_025,BSc,445014,323828,0,0,0,Parent,0,Part-time,1.9,Probation,4,Ondo,0.54,High,1.37
APP_000038,UNI_017,HND,152131,136032,2,0,0,None,0,Unemployed,1.9,Good,4,Ondo,0.72,Upper-Middle,1.12
APP_000039,UNI_027,MSc,436282,52905,5,0,0,Parent,0,Unemployed,3.51,Probation,3,Anambra,0.82,Low,8.25
APP_000040,UNI_027,BSc,249449,335746,2,0,0,Parent,0,Full-time,3.67,Good,1,Benue,0.6,High,0.74
APP_000041,UNI_010,BSc,445556,197996,3,0,0,Parent,0,Unemployed,3.53,Good,1,Ekiti,0.55,Upper-Middle,2.25
APP_000042,UNI_028,BSc,376695,33381,7,0,0,Guardian,0,Unemployed,4.42,Good,3,Osun,0.47,Low,11.28
APP_000043,UNI_028,HND,385070,270666,1,0,0,Guardian,0,Unemployed,2.26,Good,2,Lagos,0.41,High,1.42
APP_000044,UNI_016,BSc,170214,310274,6,0,1,Parent,0,Part-time,2.07,Good,2,Osun,0.22,High,0.55
APP_000045,UNI_015,BSc,429894,50415,5,0,0,Parent,0,Unemployed,4.52,Good,4,Kano,0.71,Low,8.53
APP_000046,UNI_030,BSc,118599,200200,6,0,0,Parent,0,Unemployed,3.88,Good,2,Lagos,0.25,Upper-Middle,0.59
APP_000047,UNI_030,MSc,309417,104679,0,0,0,Parent,0,Unemployed,3.85,Good,3,Lagos,0.73,Lower-Middle,2.96
APP_000048,UNI_015,BSc,189490,135458,1,0,0,Parent,0,Unemployed,2.61,Good,3,Plateau,0.7,Upper-Middle,1.4
APP_000049,UNI_030,BSc,435474,151460,5,0,0,Parent,0,Unemployed,3.57,Good,3,Osun,0.89,Upper-Middle,2.88
APP_000050,UNI_019,BSc,102593,97652,6,0,0,Parent,0,Part-time,3.9,Good,2,Abuja,0.21,Lower-Middle,1.05
APP_000051,UNI_012,HND,305472,170878,1,0,0,Guardian,0,Unemployed,3.48,Good,1,Ondo,0.37,Upper-Middle,1.79
APP_000052,UNI_023,BSc,189865,84333,4,0,0,None,0,Unemployed,3.93,Good,2,Lagos,0.26,Lower-Middle,2.25
APP_000053,UNI_020,HND,253708,256388,2,1,0,Parent,0,Unemployed,3.45,Good,4,Plateau,0.85,High,0.99
APP_000054,UNI_025,BSc,267031,130930,6,0,0,Parent,1,Unemployed,4.74,Good,3,Abuja,0.56,Upper-Middle,2.04
APP_000055,UNI_003,BSc,296989,286996,2,0,0,Parent,0,Unemployed,3.12,Good,2,Kaduna,0.87,High,1.03
APP_000056,UNI_005,BSc,309701,266355,4,0,0,None,0,Unemployed,1.54,Good,3,Benue,0.31,High,1.16
APP_000057,UNI_019,BSc,212192,209889,4,0,0,Parent,0,Unemployed,2.04,Good,3,Osun,0.43,Upper-Middle,1.01
APP_000058,UNI_007,BSc,123638,180120,1,1,0,Parent,1,Part-time,4.68,Good,1,Osun,0.65,Upper-Middle,0.69
APP_000059,UNI_021,HND,250134,243622,2,0,0,Parent,1,Unemployed,3.05,Probation,1,Enugu,0.39,Upper-Middle,1.03
APP_000060,UNI_009,BSc,347337,133120,0,0,0,Parent,1,Part-time,1.9,Good,4,Abuja,0.85,Upper-Middle,2.61
APP_000061,UNI_007,HND,95213,96596,3,0,0,Parent,0,Unemployed,2.01,Good,3,Abuja,0.51,Lower-Middle,0.99
APP_000062,UNI_018,HND,334286,261777,5,1,0,Parent,0,Unemployed,1.6,Good,2,Ekiti,0.63,High,1.28
APP_000063,UNI_004,BSc,324987,275878,4,0,1,Parent,1,Unemployed,2.25,Good,2,Kogi,0.45,High,1.18
APP_000064,UNI_025,HND,421910,290353,0,0,0,Guardian,1,Unemployed,4.76,Good,4,Anambra,0.35,High,1.45
APP_000065,UNI_028,ND,295031,73482,0,0,0,Parent,0,Part-time,2.59,Probation,1,Rivers,0.76,Lower-Middle,4.02
APP_000066,UNI_014,BSc,228259,320341,1,0,1,None,0,Unemployed,2.33,Good,3,Oyo,0.76,High,0.71
APP_000067,UNI_018,BSc,221112,169148,4,0,0,Parent,1,Full-time,3.7,Good,1,Abuja,0.77,Upper-Middle,1.31
APP_000068,UNI_026,BSc,277374,137458,0,1,1,None,1,Part-time,3.72,Good,1,Oyo,0.43,Upper-Middle,2.02
APP_000069,UNI_009,MSc,109949,139614,3,0,0,Parent,0,Unemployed,4.69,Good,3,Kogi,0.8,Upper-Middle,0.79
APP_000070,UNI_026,BSc,323072,109484,7,0,0,Parent,0,Unemployed,3.91,Good,1,Nasarawa,0.42,Lower-Middle,2.95
APP_000071,UNI_021,BSc,328066,169151,7,0,0,Guardian,0,Part-time,1.86,Good,2,Borno,0.45,Upper-Middle,1.94
APP_000072,UNI_002,ND,294480,201810,0,0,0,None,0,Unemployed,4.75,Good,1,Kano,0.41,Upper-Middle,1.46
APP_000073,UNI_020,BSc,444577,294849,3,0,0,Parent,0,Unemployed,3.98,Probation,3,Enugu,0.5,High,1.51
APP_000074,UNI_028,BSc,288366,335976,6,0,0,None,0,Part-time,2.36,Good,4,Lagos,0.22,High,0.86
APP_000075,UNI_015,BSc,367556,336756,3,0,0,Guardian,0,Unemployed,2.36,Good,4,Plateau,0.38,High,1.09
APP_000076,UNI_028,BSc,225384,129165,3,0,0,Parent,0,Unemployed,4.67,Probation,2,Enugu,0.38,Upper-Middle,1.74
APP_000077,UNI_007,BSc,222876,30248,4,0,0,Parent,0,Unemployed,2.14,Good,2,Oyo,0.8,Low,7.37
APP_000078,UNI_012,ND,265058,329132,6,0,0,Parent,0,Unemployed,2.25,Good,4,Ekiti,0.69,High,0.81
APP_000079,UNI_029,BSc,126545,109169,3,0,0,None,0,Unemployed,2.68,Good,2,Abuja,0.38,Lower-Middle,1.16
APP_000080,UNI_008,BSc,418663,115039,4,0,0,Guardian,0,Part-time,3.74,Good,1,Kogi,0.45,Lower-Middle,3.64
APP_000081,UNI_015,BSc,241071,27461,6,0,0,Parent,0,Unemployed,2.92,Good,4,Osun,0.87,Low,8.78
APP_000082,UNI_003,HND,438237,178070,7,0,0,Parent,0,Part-time,2.53,Good,4,Kogi,0.62,Upper-Middle,2.46
APP_000083,UNI_014,MSc,436468,163893,0,0,0,Parent,0,Part-time,2.38,Good,2,Plateau,0.69,Upper-Middle,2.66
APP_000084,UNI_017,MSc,83768,39870,6,0,0,Guardian,0,Unemployed,1.91,Good,3,Borno,0.88,Low,2.1
APP_000085,UNI_004,HND,343648,33410,3,1,0,None,0,Part-time,3.3,Good,2,Anambra,0.66,Low,10.29
APP_000086,UNI_018,HND,410130,107721,6,0,0,Parent,0,Unemployed,2.4,Good,3,Kogi,0.48,Lower-Middle,3.81
APP_000087,UNI_008,BSc,88002,39133,2,0,0,Parent,0,Unemployed,2.59,Good,4,Ondo,0.47,Low,2.25
APP_000088,UNI_004,MSc,155427,305503,0,0,0,None,0,Unemployed,1.53,Good,3,Nasarawa,0.28,High,0.51
APP_000089,UNI_002,BSc,380931,212457,5,0,0,Parent,0,Unemployed,3.25,Good,4,Osun,0.27,Upper-Middle,1.79
APP_000090,UNI_030,HND,93898,47400,6,0,0,Parent,0,Unemployed,3.8,Probation,1,Rivers,0.46,Low,1.98
APP_000091,UNI_006,BSc,160800,54173,6,0,0,None,0,Unemployed,4.56,Good,2,Plateau,0.49,Low,2.97
APP_000092,UNI_022,BSc,294299,31179,6,0,0,Parent,0,Unemployed,2.15,Good,3,Benue,0.66,Low,9.44
APP_000093,UNI_010,HND,206718,212958,2,0,0,Parent,0,Part-time,4.53,Good,4,Abuja,0.52,Upper-Middle,0.97
APP_000094,UNI_004,BSc,113743,55495,2,0,0,Parent,0,Unemployed,2.69,Good,2,Nasarawa,0.71,Low,2.05
APP_000095,UNI_022,ND,289610,288631,1,0,0,None,0,Unemployed,4.15,Good,4,Osun,0.27,High,1.0
APP_000096,UNI_029,ND,323589,34760,4,0,1,None,1,Part-time,4.46,Good,3,Ondo,0.42,Low,9.31
APP_000097,UNI_018,BSc,254458,111975,1,0,0,Guardian,0,Part-time,4.67,Good,4,Oyo,0.83,Lower-Middle,2.27
APP_000098,UNI_026,BSc,210864,112465,4,0,0,None,0,Part-time,2.57,Good,1,Osun,0.23,Lower-Middle,1.87
APP_000099,UNI_012,HND,232395,222899,1,0,0,None,0,Part-time,2.36,Good,2,Enugu,0.66,Upper-Middle,1.04
APP_000100,UNI_002,BSc,252391,311547,0,1,0,Guardian,0,Unemployed,2.95,Good,4,Lagos,0.59,High,0.81
APP_000101,UNI_010,HND,96868,219109,7,0,0,Guardian,1,Unemployed,3.33,Good,2,Benue,0.24,Upper-Middle,0.44
APP_000102,UNI_030,HND,310804,135625,2,0,0,Parent,1,Unemployed,3.78,Probation,4,Rivers,0.29,Upper-Middle,2.29
APP_000103,UNI_004,HND,344224,21755,0,0,0,None,0,Unemployed,3.78,Good,3,Ekiti,0.4,Low,15.82
APP_000104,UNI_014,MSc,224848,148500,4,0,0,None,0,Unemployed,1.88,Probation,3,Kogi,0.27,Upper-Middle,1.51
APP_000105,UNI_016,BSc,277303,187230,2,0,0,None,1,Part-time,3.52,Good,4,Lagos,0.46,Upper-Middle,1.48
APP_000106,UNI_015,BSc,264884,91352,7,0,0,Parent,0,Full-time,2.05,Good,1,Rivers,0.67,Lower-Middle,2.9
APP_000107,UNI_008,BSc,143271,218498,2,0,0,Parent,0,Unemployed,3.85,Good,1,Abuja,0.71,Upper-Middle,0.66
APP_000108,UNI_014,MSc,157585,132133,4,0,0,None,0,Unemployed,4.72,Good,4,Anambra,0.46,Upper-Middle,1.19
APP_000109,UNI_023,HND,204147,27688,0,0,0,None,0,Unemployed,4.04,Good,4,Rivers,0.82,Low,7.37
APP_000110,UNI_028,BSc,95628,255876,2,0,0,Guardian,1,Part-time,3.79,Good,1,Nasarawa,0.81,High,0.37
APP_000111,UNI_025,BSc,339517,190556,5,1,0,Parent,1,Unemployed,1.76,Good,2,Anambra,0.3,Upper-Middle,1.78
APP_000112,UNI_030,BSc,219337,210927,6,0,0,Parent,1,Unemployed,2.11,Good,3,Ondo,0.67,Upper-Middle,1.04
APP_000113,UNI_008,ND,354604,169651,0,0,1,None,0,Unemployed,2.67,Good,3,Enugu,0.39,Upper-Middle,2.09
APP_000114,UNI_021,BSc,339970,164086,0,0,0,Guardian,0,Unemployed,4.58,Good,2,Anambra,0.62,Upper-Middle,2.07
APP_000115,UNI_016,ND,83477,68443,0,0,1,Parent,1,Unemployed,2.59,Good,4,Ondo,0.46,Lower-Middle,1.22
APP_000116,UNI_013,BSc,344346,193033,7,0,1,Parent,0,Unemployed,4.19,Good,4,Abuja,0.6,Upper-Middle,1.78
APP_000117,UNI_018,BSc,193846,209986,2,0,0,Guardian,0,Unemployed,1.84,Good,4,Benue,0.64,Upper-Middle,0.92
APP_000118,UNI_015,HND,431554,56397,3,1,0,None,0,Full-time,3.68,Good,4,Ekiti,0.31,Low,7.65
APP_000119,UNI_021,BSc,324000,263818,6,0,0,Parent,0,Unemployed,4.07,Good,2,Lagos,0.55,High,1.23
APP_000120,UNI_024,ND,448897,198250,7,0,0,Parent,1,Part-time,3.29,Good,3,Plateau,0.31,Upper-Middle,2.26
APP_000121,UNI_026,BSc,353994,21063,1,0,0,None,0,Full-time,4.03,Probation,4,Oyo,0.33,Low,16.81
APP_000122,UNI_025,BSc,315693,95848,4,0,0,Parent,0,Unemployed,3.89,Good,3,Kaduna,0.72,Lower-Middle,3.29
APP_000123,UNI_028,HND,213878,187115,0,0,1,Guardian,0,Unemployed,3.07,Good,2,Enugu,0.84,Upper-Middle,1.14
APP_000124,UNI_028,ND,436512,348656,2,0,0,None,0,Unemployed,4.36,Good,2,Abuja,0.51,High,1.25
APP_000125,UNI_028,MSc,342329,130687,4,1,0,Parent,0,Unemployed,2.63,Good,4,Borno,0.73,Upper-Middle,2.62
APP_000126,UNI_013,ND,104718,146230,3,0,0,Parent,0,Unemployed,2.9,Good,4,Oyo,0.6,Upper-Middle,0.72
APP_000127,UNI_009,HND,267274,281234,5,0,0,Parent,1,Part-time,3.28,Good,1,Plateau,0.81,High,0.95
APP_000128,UNI_029,HND,236287,228347,7,0,0,Parent,0,Unemployed,1.93,Good,1,Kano,0.85,Upper-Middle,1.03
APP_000129,UNI_015,BSc,360602,155141,3,0,0,None,0,Part-time,3.2,Probation,1,Abuja,0.79,Upper-Middle,2.32
APP_000130,UNI_013,BSc,210293,281252,2,0,0,None,0,Unemployed,2.57,Good,1,Benue,0.85,High,0.75
APP_000131,UNI_001,ND,227078,166676,0,0,0,Guardian,0,Unemployed,2.35,Probation,2,Benue,0.37,Upper-Middle,1.36
APP_000132,UNI_025,HND,305152,34612,3,0,0,Parent,0,Part-time,3.4,Good,4,Osun,0.4,Low,8.82
APP_000133,UNI_007,HND,156820,59170,6,0,0,None,0,Unemployed,2.59,Good,4,Oyo,0.61,Low,2.65
APP_000134,UNI_009,HND,446158,196173,7,0,0,Parent,1,Unemployed,4.32,Good,1,Benue,0.76,Upper-Middle,2.27
APP_000135,UNI_024,BSc,305751,85881,3,0,0,Parent,0,Unemployed,2.85,Good,4,Abuja,0.26,Lower-Middle,3.56
APP_000136,UNI_001,BSc,161234,188782,3,0,0,None,0,Unemployed,2.86,Good,4,Osun,0.42,Upper-Middle,0.85
APP_000137,UNI_012,HND,209282,160435,6,0,0,Parent,0,Unemployed,4.74,Probation,3,Oyo,0.43,Upper-Middle,1.3
APP_000138,UNI_008,BSc,351246,326265,5,0,0,None,0,Unemployed,2.63,Probation,1,Kaduna,0.81,High,1.08
APP_000139,UNI_024,BSc,409251,93960,7,0,0,Guardian,0,Unemployed,1.93,Good,3,Kogi,0.72,Lower-Middle,4.36
APP_000140,UNI_011,MSc,314501,31990,7,0,0,None,0,Part-time,4.39,Good,1,Ekiti,0.66,Low,9.83
APP_000141,UNI_019,MSc,206328,114258,2,0,0,Guardian,0,Part-time,4.53,Good,4,Benue,0.33,Lower-Middle,1.81
APP_000142,UNI_017,BSc,164079,147640,4,0,0,Parent,0,Unemployed,2.25,Good,3,Rivers,0.57,Upper-Middle,1.11
APP_000143,UNI_008,HND,174437,326803,1,0,0,Parent,1,Unemployed,4.41,Probation,3,Borno,0.21,High,0.53
APP_000144,UNI_003,ND,159570,52137,2,0,0,Parent,0,Part-time,3.13,Good,1,Osun,0.35,Low,3.06
APP_000145,UNI_003,HND,172656,35573,0,0,0,None,0,Part-time,1.64,Good,4,Kano,0.76,Low,4.85
APP_000146,UNI_001,HND,277937,29554,2,0,0,Parent,0,Unemployed,3.31,Good,3,Kaduna,0.66,Low,9.4
APP_000147,UNI_027,BSc,252492,249726,2,0,0,Parent,0,Unemployed,4.3,Good,2,Kano,0.58,Upper-Middle,1.01
APP_000148,UNI_005,BSc,236454,253380,5,0,0,Parent,0,Unemployed,2.81,Probation,2,Kogi,0.79,High,0.93
APP_000149,UNI_010,BSc,118795,237670,1,0,0,Parent,0,Unemployed,3.32,Good,2,Benue,0.51,Upper-Middle,0.5
APP_000150,UNI_007,BSc,131425,204869,1,0,0,None,0,Unemployed,1.96,Good,4,Osun,0.4,Upper-Middle,0.64
APP_000151,UNI_026,BSc,137402,33015,1,0,0,None,0,Part-time,4.28,Probation,2,Kaduna,0.79,Low,4.16
APP_000152,UNI_009,BSc,287275,79617,4,0,0,Parent,0,Unemployed,1.85,Good,2,Kaduna,0.41,Lower-Middle,3.61
APP_000153,UNI_028,HND,445271,200664,7,0,0,None,0,Part-time,1.81,Good,3,Borno,0.8,Upper-Middle,2.22
APP_000154,UNI_007,ND,318723,130041,2,0,0,Guardian,0,Part-time,4.58,Good,3,Kogi,0.66,Upper-Middle,2.45
APP_000155,UNI_009,BSc,391793,95195,5,0,0,Parent,0,Full-time,4.38,Good,3,Rivers,0.64,Lower-Middle,4.12
APP_000156,UNI_008,ND,283567,179989,7,0,0,Parent,0,Full-time,3.4,Good,1,Osun,0.26,Upper-Middle,1.58
APP_000157,UNI_012,BSc,175117,270438,0,0,0,None,0,Unemployed,1.85,Good,4,Kano,0.53,High,0.65
APP_000158,UNI_002,HND,341712,234722,1,0,0,Parent,0,Unemployed,3.3,Good,2,Rivers,0.46,Upper-Middle,1.46
APP_000159,UNI_001,BSc,289125,157715,6,0,0,None,0,Unemployed,4.54,Good,3,Osun,0.85,Upper-Middle,1.83
APP_000160,UNI_016,BSc,267350,33269,7,0,0,Parent,0,Part-time,3.52,Good,4,Kogi,0.21,Low,8.04
APP_000161,UNI_023,HND,420300,300502,1,0,0,None,0,Unemployed,2.15,Good,1,Osun,0.62,High,1.4
APP_000162,UNI_023,BSc,430484,118029,6,0,0,Parent,0,Unemployed,4.49,Good,1,Ondo,0.49,Lower-Middle,3.65
APP_000163,UNI_030,HND,110568,103857,7,0,0,Parent,0,Full-time,4.36,Good,4,Benue,0.76,Lower-Middle,1.06
APP_000164,UNI_024,BSc,351056,212830,2,0,0,Parent,0,Unemployed,3.3,Good,4,Ondo,0.78,Upper-Middle,1.65
APP_000165,UNI_005,BSc,243599,76235,0,0,0,None,0,Unemployed,4.31,Probation,2,Benue,0.52,Lower-Middle,3.2
APP_000166,UNI_003,BSc,392570,317448,5,0,1,None,0,Full-time,1.69,Probation,3,Benue,0.31,High,1.24
APP_000167,UNI_012,MSc,310066,304316,1,0,0,None,0,Unemployed,3.02,Good,2,Nasarawa,0.34,High,1.02
APP_000168,UNI_008,HND,333007,93834,2,0,0,Parent,0,Unemployed,2.09,Good,1,Rivers,0.71,Lower-Middle,3.55
APP_000169,UNI_022,BSc,82355,64857,3,1,0,None,0,Full-time,4.26,Good,1,Kogi,0.78,Lower-Middle,1.27
APP_000170,UNI_027,BSc,176429,161483,5,0,1,None,0,Unemployed,4.7,Probation,4,Rivers,0.46,Upper-Middle,1.09
APP_000171,UNI_003,MSc,265805,289969,6,1,0,None,0,Unemployed,4.57,Good,3,Kano,0.46,High,0.92
